BALL POS,903.308,1800.07,25.526,-0.159429,0.0299948,-0.234932,N
BALL POS,903.146,1800.13,25.5278,-0.190247,0.0612212,0.307284,N
BALL POS,903.044,1800.17,25.5549,-0.212792,0.0890192,0.126529,N
BALL POS,902.933,1800.21,25.5116,-0.233167,0.0588056,0.126411,N
BALL POS,902.62,1800.34,25.555,-0.304001,0.086482,0.126366,N
BALL POS,902.308,1800.46,25.5205,-0.335853,0.11817,0.307284,N
BALL POS,901.945,1800.6,25.5047,-0.374838,0.123764,0.124007,N
BALL POS,901.545,1800.75,25.5405,-0.431151,0.155212,0.126358,N
BALL POS,901.323,1800.84,25.5495,-0.45981,0.166357,-0.0543563,N
BALL POS,900.889,1800.86,25.5336,-0.319845,-0.129967,0.307284,N
BALL POS,900.554,1800.77,25.5136,-0.262882,-0.116586,0.307284,N
BALL POS,900.288,1800.7,25.5263,-0.198722,-0.0907597,-0.23479,N
BALL POS,900.097,1800.62,25.5277,-0.157144,-0.0921524,0.307346,N
BALL POS,899.946,1800.56,25.5062,-0.11488,-0.0757109,0.307335,N
BALL POS,899.849,1800.52,25.555,-0.0575743,-0.0345595,0.126566,N
BALL POS,899.804,1800.5,25.5206,-0.013835,-0.0364833,0.307317,N
BALL POS,899.814,1800.5,25.499,0.0289999,-0.0215356,0.307171,N
BALL POS,899.874,1800.53,25.5477,0.0932889,0.00406683,0.126478,N
BALL POS,899.977,1800.57,25.5134,0.122891,0.035209,0.307284,N
BALL POS,900.146,1800.63,25.526,0.193857,0.0432678,-0.234949,N
BALL POS,900.257,1800.68,25.5134,0.207177,0.0491642,0.307299,N
BALL POS,900.485,1800.77,25.5495,0.265174,0.0710671,-0.0542136,N
BALL POS,900.783,1800.88,25.5279,0.30678,0.0883111,0.307299,N
BALL POS,901.05,1800.89,25.5115,0.225917,-0.0228284,0.126529,N
BALL POS,901.247,1800.86,25.5477,0.124642,-0.0836269,-0.0540442,N
BALL POS,901.318,1800.84,25.5067,0.149685,0.00732225,0.307284,N
BALL POS,901.42,1800.81,25.5555,0.0515013,-0.0524194,0.126478,N
BALL POS,901.464,1800.79,25.5205,0.0133078,-0.0368465,0.307306,N
BALL POS,901.454,1800.79,25.499,-0.0292329,-0.0203328,0.307309,N
BALL POS,901.394,1800.82,25.5478,-0.0889798,0.020884,0.126389,N
BALL POS,901.287,1800.86,25.5134,-0.12542,0.0362986,0.307284,N
BALL POS,901.114,1800.92,25.526,-0.191231,0.0614186,-0.235067,N
BALL POS,901.036,1800.93,25.5244,-0.134637,-0.0697352,0.126529,N
BALL POS,900.911,1800.92,25.5035,-0.105174,0.0173673,0.123887,N
BALL POS,900.852,1800.92,25.5448,-0.0154203,-0.0383076,0.126479,N
BALL POS,900.846,1800.91,25.4998,-0.000390852,-0.035635,0.30716,N
BALL POS,900.869,1800.92,25.5359,0.057063,-0.01012,0.307171,N
BALL POS,900.939,1800.94,25.5186,0.0944247,0.00450958,0.12648,N
BALL POS,901.012,1800.94,25.5493,0.0559584,0.0492713,-0.0542266,N
BALL POS,901.028,1800.97,25.5333,-0.0336019,-0.019168,0.126457,N
BALL POS,901.008,1800.97,25.5116,-0.0200151,-0.0244766,0.126464,N
BALL POS,901.001,1800.97,25.5477,-0.00528308,0.043368,0.126529,N
BALL POS,901.006,1800.97,25.5261,0.000164359,0.0316807,0.126529,N
BALL POS,901.006,1800.97,25.526,-0.000122242,0.0736329,-0.234982,N
BALL POS,901.006,1800.96,25.5405,-0.000173663,0.0710984,0.126529,N
BALL POS,900.988,1800.96,25.5062,0.0226251,-0.0225657,0.307314,N
BALL POS,901.025,1800.96,25.5549,0.00846697,-0.0356051,0.126464,N
BALL POS,901.009,1800.96,25.5206,-0.0389763,0.0203167,0.307284,N
BALL POS,900.988,1800.96,25.5422,-0.00885898,-0.0359168,0.307152,N
BALL POS,901.004,1800.97,25.5207,0.0532064,-0.0120256,0.307167,N
BALL POS,901.017,1800.33,25.5046,-0.0129206,-57.8481,0.123748,N
BALL POS,901.003,1735.82,25.5498,-0.0129207,-57.3849,0.126529,N
BALL POS,900.99,1678.66,25.5128,-0.0129207,-56.9103,0.307284,N
BALL POS,900.976,1616.29,25.5254,-0.0129208,-56.5206,-0.234982,N
BALL POS,900.968,1582.5,25.5136,-0.0129208,-56.1671,0.307284,N
BALL POS,900.954,1520.95,25.5262,-0.0129209,-55.7774,-0.234982,N
BALL POS,900.941,1465.47,25.5278,-0.0129209,-55.2575,0.307284,N
BALL POS,900.927,1404.92,25.5062,-0.012921,-54.7638,0.307284,N
BALL POS,900.914,1350.36,25.5423,-0.0129211,-54.3479,0.307284,N
BALL POS,900.9,1290.83,25.5206,-0.0129211,-53.8543,0.307284,N
BALL POS,900.886,1231.82,25.4989,-0.0129212,-53.3606,0.307284,N
BALL POS,900.872,1173.37,25.5477,-0.0129212,-52.9257,0.126529,N
BALL POS,900.859,1120.67,25.5134,-0.0129213,-52.451,0.307284,N
BALL POS,900.845,1063.21,25.5261,-0.0129213,-52.0613,-0.234982,N
BALL POS,900.83,1001.13,25.5351,-0.0129214,-51.4583,0.307284,N
BALL POS,900.815,944.779,25.5134,-0.0129215,-50.9646,0.307284,N
BALL POS,900.799,878.857,25.4989,-0.0129216,-50.3878,0.307284,N
BALL POS,900.785,823.669,25.5477,-0.0129216,-49.9529,0.126529,N
BALL POS,900.772,773.944,25.5134,-0.0129217,-49.4782,0.307284,N
BALL POS,900.758,719.752,25.5261,-0.0129218,-49.0885,-0.234982,N
BALL POS,900.744,666.1,25.5405,-0.0129218,-48.5496,0.126529,N
BALL POS,900.731,617.772,25.5062,-0.0129219,-48.075,0.307284,N
BALL POS,900.717,565.128,25.555,-0.012922,-47.64,0.126529,N
BALL POS,900.709,536.628,25.5062,-0.012922,-47.3317,0.307284,N
BALL POS,900.695,484.801,25.555,-0.0129221,-46.8968,0.126529,N
BALL POS,900.681,433.499,25.5333,-0.0129221,-46.4032,0.126529,N
BALL POS,900.668,387.31,25.4989,-0.0129222,-45.9285,0.307284,N
BALL POS,900.655,341.576,25.5351,-0.0129223,-45.5126,0.307284,N
BALL POS,900.641,291.761,25.5134,-0.0129223,-45.0189,0.307284,N
BALL POS,900.627,242.474,25.5261,-0.0129224,-44.6292,-0.234982,N
BALL POS,891.369,203.121,26.105,-13.6685,-30.291,0.3564,N
BALL POS,875.362,175.883,26.1545,-17.607,-25.0324,-0.109167,N
BALL POS,854.319,150.776,25.8824,-21.2973,-19.742,0.346818,N
BALL POS,826.233,130.695,26.3234,-25.3632,-13.5346,0.320913,N
BALL POS,799.592,120.462,26.4051,-27.9519,-5.64356,0.234704,N
